iter	Passed	Remaining
0	62	62028
1	63	31679
2	64	21545
3	66	16533
4	68	13544
5	69	11519
6	71	10098
7	72	8996
8	74	8176
9	75	7487
10	77	6927
11	79	6527
12	80	6147
13	82	5835
14	84	5533
15	85	5269
16	87	5050
17	89	4862
18	91	4708
19	92	4532
20	93	4370
21	95	4224
22	96	4092
23	97	3969
24	98	3855
25	100	3752
26	101	3664
27	103	3583
28	104	3505
29	106	3430
30	107	3358
31	108	3296
32	111	3263
33	113	3214
34	114	3154
35	115	3095
36	116	3044
37	118	3005
38	120	2958
39	121	2921
40	123	2893
41	125	2856
42	126	2826
43	128	2800
44	130	2761
45	131	2725
46	132	2692
47	134	2674
48	136	2646
49	137	2615
50	138	2584
51	140	2568
52	142	2542
53	143	2515
54	144	2487
55	146	2462
56	147	2440
57	148	2418
58	150	2395
59	151	2379
60	153	2362
61	154	2343
62	156	2321
63	157	2301
64	158	2281
65	159	2262
66	162	2262
67	163	2244
68	165	2230
69	166	2217
70	168	2201
71	169	2190
72	171	2174
73	172	2158
74	173	2142
75	175	2128
76	176	2116
77	178	2111
78	180	2102
79	182	2100
80	184	2087
81	185	2079
82	186	2065
83	188	2053
84	189	2043
85	191	2032
86	193	2026
87	194	2014
88	195	2002
89	197	1996
90	198	1986
91	200	1979
92	201	1969
93	203	1958
94	204	1948
95	206	1941
96	208	1937
97	209	1930
98	211	1922
99	212	1913
100	213	1903
101	215	1896
102	216	1888
103	218	1880
104	219	1872
105	220	1862
106	222	1856
107	223	1847
108	225	1842
109	226	1834
110	227	1825
111	229	1818
112	230	1812
113	232	1804
114	233	1799
115	235	1793
116	236	1786
117	237	1778
118	240	1777
119	241	1772
120	243	1765
121	244	1758
122	245	1752
123	247	1749
124	249	1743
125	250	1739
126	252	1735
127	254	1731
128	255	1722
129	257	1721
130	259	1720
131	261	1719
132	262	1713
133	264	1711
134	266	1707
135	267	1702
136	269	1696
137	270	1690
138	272	1685
139	273	1679
140	274	1673
141	276	1668
142	277	1662
143	278	1657
144	280	1651
145	281	1645
146	283	1643
147	284	1640
148	286	1635
149	287	1629
150	288	1624
151	290	1623
152	292	1619
153	294	1618
154	295	1613
155	297	1609
156	298	1605
157	299	1597
158	301	1593
159	303	1594
160	304	1589
161	306	1584
162	307	1580
163	309	1576
164	310	1572
165	312	1568
166	313	1565
167	315	1562
168	317	1560
169	319	1558
170	320	1553
171	321	1549
172	324	1549
173	325	1545
174	326	1540
175	328	1536
176	329	1531
177	330	1527
178	332	1523
179	334	1521
180	335	1518
181	337	1515
182	338	1511
183	339	1507
184	341	1504
185	342	1499
186	343	1495
187	345	1491
188	346	1488
189	348	1484
190	349	1481
191	351	1477
192	352	1473
193	353	1470
194	355	1465
195	356	1461
196	357	1458
197	360	1459
198	361	1455
199	362	1451
200	364	1449
201	366	1446
202	367	1442
203	368	1438
204	370	1434
205	371	1431
206	372	1428
207	374	1424
208	376	1424
209	378	1422
210	379	1418
211	380	1415
212	382	1412
213	383	1409
214	385	1406
215	386	1404
216	388	1400
217	389	1397
218	390	1394
219	392	1391
220	393	1388
221	395	1384
222	396	1382
223	398	1379
224	399	1375
225	400	1372
226	402	1369
227	403	1366
228	405	1364
229	406	1361
230	407	1357
231	409	1354
232	410	1351
233	412	1348
234	413	1345
235	415	1343
236	416	1342
237	418	1339
238	419	1336
239	420	1332
240	422	1331
241	424	1330
242	426	1329
243	427	1325
244	429	1324
245	431	1322
246	433	1321
247	434	1318
248	436	1317
249	438	1314
250	439	1311
251	440	1308
252	442	1306
253	444	1304
254	445	1302
255	447	1299
256	448	1296
257	449	1293
258	451	1291
259	452	1288
260	453	1284
261	455	1281
262	457	1282
263	459	1281
264	461	1279
265	462	1276
266	464	1274
267	465	1272
268	466	1269
269	468	1266
270	469	1264
271	471	1261
272	472	1259
273	474	1256
274	475	1253
275	476	1251
276	478	1249
277	480	1246
278	481	1244
279	482	1241
280	484	1238
281	485	1236
282	487	1234
283	488	1231
284	490	1230
285	492	1228
286	493	1226
287	494	1223
288	496	1221
289	498	1219
290	499	1216
291	500	1213
292	501	1211
293	503	1208
294	504	1206
295	506	1205
296	508	1203
297	509	1201
298	511	1199
299	512	1196
300	514	1194
301	516	1192
302	517	1190
303	518	1187
304	520	1185
305	521	1182
306	522	1180
307	524	1177
308	525	1175
309	527	1173
310	528	1171
311	530	1168
312	531	1166
313	532	1164
314	534	1161
315	535	1159
316	537	1157
317	538	1155
318	540	1152
319	541	1150
320	542	1148
321	544	1146
322	545	1144
323	547	1142
324	549	1140
325	550	1137
326	552	1136
327	553	1134
328	555	1132
329	556	1130
330	557	1127
331	559	1125
332	560	1122
333	562	1121
334	563	1118
335	565	1116
336	566	1114
337	568	1113
338	570	1111
339	572	1110
340	573	1109
341	575	1106
342	576	1103
343	577	1101
344	578	1099
345	580	1097
346	581	1094
347	583	1093
348	585	1091
349	586	1090
350	588	1088
351	590	1086
352	591	1083
353	592	1081
354	594	1079
355	596	1078
356	597	1076
357	598	1074
358	600	1071
359	602	1070
360	603	1068
361	605	1066
362	606	1064
363	608	1062
364	609	1059
365	610	1058
366	612	1056
367	614	1054
368	615	1053
369	617	1051
370	619	1049
371	620	1047
372	622	1045
373	623	1043
374	624	1041
375	626	1039
376	628	1038
377	629	1036
378	632	1035
379	633	1033
380	634	1031
381	636	1029
382	637	1026
383	639	1025
384	640	1023
385	642	1021
386	643	1019
387	645	1018
388	646	1015
389	648	1014
390	649	1011
391	651	1009
392	652	1008
393	653	1005
394	655	1003
395	656	1001
396	658	999
397	659	997
398	661	995
399	662	993
400	663	991
401	665	989
402	666	987
403	667	984
404	669	983
405	670	980
406	671	978
407	673	976
408	674	974
409	676	972
410	677	970
411	678	968
412	679	966
413	681	964
414	682	962
415	683	959
416	684	957
417	686	955
418	687	953
419	688	950
420	690	949
421	691	947
422	693	945
423	694	943
424	695	941
425	696	938
426	698	936
427	699	934
428	700	932
429	701	930
430	703	928
431	704	926
432	706	924
433	707	923
434	709	921
435	710	919
436	712	917
437	713	915
438	714	913
439	716	911
440	717	909
441	719	907
442	720	905
443	721	903
444	723	901
445	724	900
446	726	898
447	727	896
448	729	894
449	731	894
450	732	892
451	734	890
452	736	888
453	737	887
454	739	885
455	740	883
456	741	881
457	743	879
458	744	877
459	745	875
460	747	873
461	748	871
462	750	870
463	751	868
464	753	866
465	754	864
466	755	862
467	757	860
468	758	858
469	760	857
470	761	855
471	763	853
472	764	852
473	767	851
474	769	850
475	770	848
476	772	846
477	774	845
478	775	843
479	776	841
480	778	839
481	779	837
482	780	835
483	782	834
484	784	832
485	785	831
486	787	829
487	788	827
488	790	825
489	791	823
490	792	821
491	794	820
492	796	819
493	798	817
494	800	816
495	801	814
496	803	813
497	804	811
498	806	809
499	808	808
500	809	806
501	810	804
502	812	802
503	813	800
504	815	799
505	817	797
506	818	795
507	820	794
508	821	792
509	823	791
510	825	789
511	826	788
512	828	786
513	829	784
514	831	782
515	832	781
516	834	779
517	835	777
518	837	775
519	838	774
520	839	772
521	841	770
522	843	769
523	845	767
524	846	766
525	848	764
526	849	762
527	850	760
528	852	758
529	853	757
530	854	755
531	856	753
532	857	751
533	859	750
534	861	748
535	863	747
536	865	745
537	866	744
538	868	742
539	870	741
540	871	739
541	873	738
542	875	736
543	876	734
544	878	733
545	880	732
546	882	730
547	883	728
548	885	727
549	886	725
550	888	723
551	889	721
552	890	720
553	892	718
554	893	716
555	894	714
556	896	712
557	897	711
558	899	709
559	900	707
560	902	705
561	904	704
562	905	702
563	906	701
564	908	699
565	910	697
566	912	696
567	914	695
568	915	693
569	916	691
570	918	690
571	920	688
572	921	686
573	922	684
574	924	683
575	925	681
576	927	679
577	928	677
578	930	676
579	931	674
580	932	672
581	934	671
582	936	669
583	938	668
584	939	666
585	941	664
586	942	663
587	944	661
588	946	660
589	947	658
590	949	657
591	951	655
592	952	653
593	953	651
594	956	650
595	958	649
596	960	648
597	962	647
598	964	645
599	966	644
600	967	642
601	969	640
602	970	638
603	971	636
604	972	635
605	974	633
606	975	631
607	977	630
608	978	628
609	980	626
610	981	624
611	983	623
612	984	621
613	985	619
614	987	618
615	989	616
616	990	615
617	992	613
618	993	611
619	995	610
620	997	608
621	998	607
622	1000	605
623	1001	603
624	1003	601
625	1004	600
626	1005	598
627	1007	596
628	1009	595
629	1011	593
630	1012	592
631	1013	590
632	1014	588
633	1016	586
634	1018	585
635	1019	583
636	1020	581
637	1022	579
638	1023	578
639	1024	576
640	1026	574
641	1027	573
642	1029	571
643	1030	569
644	1032	568
645	1033	566
646	1034	564
647	1036	562
648	1037	561
649	1038	559
650	1040	557
651	1041	556
652	1043	554
653	1044	552
654	1046	551
655	1048	549
656	1049	547
657	1050	546
658	1052	544
659	1053	542
660	1055	541
661	1056	539
662	1057	537
663	1059	536
664	1060	534
665	1062	532
666	1063	531
667	1065	529
668	1066	527
669	1068	526
670	1069	524
671	1072	523
672	1073	521
673	1074	519
674	1076	518
